loan_granted,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number
1,0,1,0,7800,0.81,992,4130,0,0,26,1
1,1,-1,-1,2400,1,478,40,1,22800,45,8
1,1,-1,-1,2700,0.94,2492,752,1,35800,38,2
0,1,-1,-1,0,-1,856,1217,1,14900,34,3
1,0,1,1,0,-1,1833,2755,1,37700,38,3
1,1,-1,-1,800,1.01,732,3254,0,0,34,2
1,1,-1,-1,1500,0.72,550,2896,1,31500,39,8
0,0,1,0,6100,0.68,3979,5187,1,26100,37,3
0,0,1,0,2300,0.89,873,2102,0,0,28,8
1,1,-1,-1,6300,0.94,4671,4338,1,57400,33,8
0,1,-1,-1,3000,1.08,702,2909,1,25500,55,3
0,0,1,0,3000,0.96,1506,3151,0,0,20,1
0,1,-1,-1,0,-1,768,2552,1,30000,26,5
1,0,1,0,2100,0.28,468,1605,1,27100,52,4
1,0,1,0,7100,0.74,6679,126,1,26900,49,2
0,0,0,0,6600,0.84,1861,7886,1,44400,27,4
0,1,-1,-1,1800,0.65,1234,1762,1,28300,27,2
1,1,-1,-1,6800,0.87,5130,2452,1,47400,55,4
0,1,-1,-1,5800,0.42,2127,5359,0,0,28,3
0,1,-1,-1,4100,0.99,1101,1910,1,15700,24,7
0,0,0,0,3500,0.89,995,3694,1,9100,48,5
1,0,1,0,4700,0.56,1464,4363,1,56400,37,1
1,0,1,0,6400,0.77,529,9639,1,35900,46,6
0,1,-1,-1,4800,0.22,1540,2138,0,0,52,2
1,0,1,0,3700,0.96,1826,3079,1,25600,48,5
1,1,-1,-1,4800,0.25,2666,4468,1,49100,45,8
0,0,0,0,5000,0.63,713,1503,0,0,24,8
0,1,-1,-1,5500,0.82,1396,2466,0,0,27,2
1,0,1,1,4100,0.42,1558,3065,1,21600,38,8
0,1,-1,-1,0,-1,376,789,0,0,34,0
1,1,-1,-1,7600,0.73,4936,4130,1,54600,41,2
0,0,0,1,5400,0.49,1474,1972,0,0,49,8
1,0,1,0,6100,0.89,1573,663,1,65600,27,2
1,1,-1,-1,1300,0.85,980,2144,1,44500,66,3
0,0,0,0,0,-1,3641,4605,1,34100,31,3
0,1,-1,-1,600,0.96,1354,1480,1,16200,41,4
1,0,1,0,5100,0.59,1047,3056,1,23200,56,8
1,1,-1,-1,2000,0.33,1213,2293,1,20400,21,2
0,0,1,1,4100,0.83,448,667,1,33500,25,4
0,1,-1,-1,6800,0.68,2931,2577,0,0,31,4
0,1,-1,-1,3500,0.9,1094,3049,0,0,42,5
1,0,1,0,5100,0.55,2413,4306,1,25300,37,8
1,0,1,0,6400,0.62,1031,2139,1,12500,51,3
0,1,-1,-1,4800,0.37,594,141,1,23300,33,1
1,1,-1,-1,7500,0.38,865,8630,1,13900,38,8
1,0,1,1,5900,1,769,2430,1,21900,18,2
0,0,1,0,5400,0.96,4862,108,1,42500,55,6
0,0,1,0,2900,1,5383,2866,1,38800,60,2
1,1,-1,-1,2700,0.69,1044,765,0,0,19,0
0,1,-1,-1,4800,0.68,1029,2792,0,0,31,5
1,1,-1,-1,2400,0.49,2019,10427,1,11000,40,8
0,1,-1,-1,3500,0.72,767,2151,0,0,20,8
1,0,1,0,4700,0.76,832,3401,1,31800,45,4
1,1,-1,-1,2200,0.96,469,4096,1,45800,43,2
0,0,1,0,5500,0.96,3147,1990,1,55700,32,1
0,0,1,0,4600,0.78,1296,4846,1,17900,44,4
0,0,1,1,2300,0.91,1531,2006,1,29300,57,4
0,1,-1,-1,3600,0.69,376,1033,0,0,41,8
1,1,-1,-1,6200,0.64,368,5502,1,48800,32,8
1,0,1,1,5000,0.74,223,967,1,30300,35,2
1,1,-1,-1,8900,0.86,6441,5129,1,56800,57,3
0,0,1,1,0,-1,466,2176,0,0,32,8
0,0,1,0,5500,0.48,2106,2187,0,0,46,5
0,1,-1,-1,6300,0.87,1084,2171,1,13500,34,3
0,0,1,0,2300,1.05,747,1621,1,31900,54,8
0,0,1,1,0,-1,547,2627,0,0,48,1
0,0,1,0,5400,0.76,1332,3352,1,59000,33,8
0,0,0,0,6300,0.97,567,2469,0,0,38,3
1,0,1,0,7200,0.53,1299,5562,1,56800,43,1
1,1,-1,-1,2800,0.97,716,3292,0,0,35,4
1,0,1,0,4700,0.55,4216,6693,1,30500,25,1
1,0,1,0,7600,0.71,1876,3996,1,32500,23,5
1,1,-1,-1,3100,0.41,2810,7838,0,0,37,8
0,0,1,0,9000,0.6,4149,9336,1,37700,57,3
0,1,-1,-1,0,-1,808,860,1,21100,28,3
0,0,1,0,7200,0.92,623,1479,1,51000,29,2
0,1,-1,-1,2900,0.71,3223,5878,1,37700,22,1
1,0,1,1,3300,0.97,1370,2760,1,36900,24,6
1,1,-1,-1,2600,0.84,3179,4331,1,38100,40,1
0,1,-1,-1,4800,0.67,1031,1790,1,21400,58,8
1,1,-1,-1,3300,0.74,1456,2017,1,28100,42,4
1,1,-1,-1,4400,0.49,2625,6343,1,28500,47,3
0,1,-1,-1,5300,0.61,703,2347,0,0,47,8
1,0,1,0,3800,0.84,1040,218,0,0,29,5
1,0,1,0,1100,0.74,932,2116,1,20200,40,3
1,1,-1,-1,6200,0.77,12,3945,1,32900,22,2
1,1,-1,-1,7400,0.62,1145,1686,1,33300,58,2
0,1,-1,-1,5700,0.73,1484,2267,1,23400,48,2
1,1,-1,-1,3100,1,494,2668,1,31600,65,8
0,1,-1,-1,4700,0.78,934,2087,0,0,49,8
0,0,1,1,4000,0.79,693,2259,0,0,38,1
0,1,-1,-1,7600,0.46,4278,5483,1,39700,64,0
1,1,-1,-1,4500,0.8,1926,4447,1,50400,56,2
0,0,1,1,3400,0.67,1191,1682,0,0,32,6
1,1,-1,-1,5100,0.77,2174,7917,1,25200,30,0
1,0,1,0,5700,0.45,2513,2436,1,26700,36,1
0,1,-1,-1,6100,0.5,2413,6625,1,41000,49,3
1,0,1,1,3200,0.68,1003,1328,1,29700,42,7
1,0,1,1,2900,0.47,2404,1348,0,0,55,8
1,1,-1,-1,3200,0.64,1246,2103,0,0,46,4
1,0,1,0,4900,0.66,446,2053,1,23900,43,2
0,1,-1,-1,4600,0.86,2858,6430,1,22000,38,3
0,0,1,0,4600,0.77,1731,4282,1,33600,29,2
0,1,-1,-1,2000,0.73,308,2837,0,0,40,8
1,1,-1,-1,4900,0.88,1144,2632,1,42300,32,4
0,0,1,0,7500,0.26,1210,578,0,0,51,5
0,1,-1,-1,3200,1,899,3310,0,0,47,4
1,1,-1,-1,4200,0.93,1299,2782,1,33400,29,2
1,1,-1,-1,6900,0.63,1210,53,1,42300,43,8
0,1,-1,-1,3600,0.65,898,2400,0,0,44,8
1,1,-1,-1,3600,0.66,4144,8655,1,29200,33,2
0,1,-1,-1,4900,0.54,1896,3791,0,0,45,3
0,1,-1,-1,5900,0.53,534,2906,0,0,26,3
1,1,-1,-1,3400,0.83,2246,946,1,34800,43,8
0,1,-1,-1,5600,1.04,1693,1783,1,29100,28,1
1,1,-1,-1,4700,0.58,3132,5966,1,21400,55,1
0,0,1,0,0,-1,758,3223,0,0,41,8
1,1,-1,-1,6500,0.75,1047,2789,1,32000,41,2
0,0,1,0,3300,0.84,1043,2195,0,0,22,3
1,0,1,1,5400,0.95,1707,2133,0,0,37,3
0,0,1,1,4300,0.97,1080,3052,0,0,42,8
0,0,1,0,3100,0.82,5775,5947,1,25600,44,2
0,0,1,1,3300,0.85,1748,3111,0,0,48,3
1,1,-1,-1,5600,0.56,1682,525,1,22500,56,7
0,0,1,1,2600,0.74,1545,2644,0,0,47,1
1,0,1,0,4000,0.79,5229,5318,1,32100,65,1
0,0,1,0,4300,0.69,2016,5063,0,0,35,8
1,0,0,0,5400,0.84,765,2359,1,23800,33,4
0,1,-1,-1,8400,0.47,2198,4703,1,34900,42,7
1,0,1,0,6600,0.87,3618,4567,1,9300,35,2
1,1,-1,-1,5000,0.55,1314,5980,1,28400,44,7
0,1,-1,-1,5100,0.51,1709,3044,0,0,53,2
0,1,-1,-1,4600,0.55,2433,2701,1,66600,28,3
0,0,1,1,2500,1.02,1927,2340,0,0,35,3
1,0,0,1,900,0.64,931,2295,0,0,34,2
1,0,1,0,3600,0.55,1855,6210,1,22400,42,1
0,0,1,0,9000,0.41,4502,5387,0,0,44,3
1,1,-1,-1,5200,0.67,3562,3762,1,40100,24,0
1,1,-1,-1,2400,0.82,1121,2594,1,800,40,2
0,0,1,1,4700,0.86,1361,2293,1,18500,22,5
1,0,0,0,5600,0.47,2103,685,1,16800,49,8
0,0,1,0,3000,0.82,3591,1560,1,46300,37,0
1,1,-1,-1,2600,0.91,637,1465,1,42600,31,2
1,1,-1,-1,4700,0.91,674,1756,1,37100,34,7
0,0,0,0,4700,0.73,127,5796,1,38100,78,8
1,1,-1,-1,2100,0.76,2782,4894,1,39700,34,8
1,1,-1,-1,10100,0.43,2458,3171,1,63800,60,1
0,1,-1,-1,5700,0.55,6118,6969,1,35800,19,2
1,0,1,0,3700,0.81,3986,5825,1,49700,42,1
0,0,1,0,3500,0.69,415,1527,1,35300,29,8
0,1,-1,-1,2600,0.73,442,856,0,0,22,1
1,1,-1,-1,1000,1,1161,1617,1,20400,22,2
0,0,0,1,3700,0.67,866,2122,0,0,64,1
1,1,-1,-1,2600,0.48,462,2439,1,27000,29,1
1,1,-1,-1,3600,0.73,3663,6998,1,36100,39,1
0,1,-1,-1,3600,1.05,1243,2942,0,0,45,4
0,1,-1,-1,0,-1,1006,3026,0,0,58,4
0,1,-1,-1,5300,1.01,1323,172,0,0,46,2
0,0,1,0,5800,0.42,2961,3914,1,49700,76,8
0,1,-1,-1,5700,0.74,1764,5740,1,46000,34,1
1,1,-1,-1,4000,0.76,1253,7373,1,4900,19,2
0,0,1,0,6000,0.53,565,1344,0,0,26,4
0,0,1,1,3600,1.06,1233,2932,1,19600,18,8
0,1,-1,-1,4600,0.53,1557,4281,1,31000,50,8
1,1,-1,-1,3900,0.45,2065,4877,1,47000,53,1
0,0,1,1,6400,0.84,1118,2748,0,0,48,5
1,0,1,0,5400,0.85,3113,2792,1,29800,51,0
0,0,1,1,3000,0.81,910,2987,0,0,47,4
0,0,1,0,2900,0.41,3219,7063,1,11200,49,2
1,0,1,0,8100,0.6,1794,2795,1,43100,36,8
0,1,-1,-1,2200,1.05,887,3249,0,0,32,3
0,0,1,1,4300,0.57,1461,365,0,0,40,2
1,0,1,1,3800,0.86,4088,5150,1,37200,54,3
1,1,-1,-1,6100,0.61,862,2165,0,0,33,3
0,1,-1,-1,3700,0.94,1560,2891,1,28700,42,3
1,0,1,0,4100,0.58,4070,6693,1,41600,65,1
0,0,1,1,3100,0.83,1149,1597,1,21800,40,7
1,1,-1,-1,3400,0.69,676,8022,1,41300,30,4
0,0,1,0,7200,0.54,2095,4074,1,37900,25,2
0,1,-1,-1,6200,0.94,1245,796,0,0,48,3
0,0,1,1,5400,0.69,849,2533,0,0,51,8
0,1,-1,-1,2600,0.64,951,1546,0,0,28,3
0,0,1,1,2600,1.05,693,1748,1,22200,54,4
1,1,-1,-1,3200,0.69,2169,5061,1,10400,45,1
1,1,-1,-1,5300,0.55,1360,1040,1,31200,52,7
0,0,1,1,2300,0.77,2073,2424,0,0,53,5
0,1,-1,-1,2500,1.07,653,1778,1,6900,38,1
1,1,-1,-1,2300,0.82,3154,2788,1,34700,21,1
1,1,-1,-1,6300,0.55,702,51,1,15200,49,4
0,1,-1,-1,7400,0.24,637,1548,0,0,33,8
0,1,-1,-1,3400,0.75,382,635,0,0,50,8
0,0,1,0,5300,0.67,5196,6365,1,50800,44,5
1,0,1,0,2800,0.15,1847,4116,1,30100,64,1
1,1,-1,-1,5200,0.76,3069,6031,1,18100,50,1
1,1,-1,-1,4700,0.67,1028,2370,1,33600,57,1
0,0,1,0,5100,0.45,3541,9673,0,0,44,1
1,0,1,1,3100,0.68,1019,2778,0,0,48,3
0,1,-1,-1,8200,0.43,1334,1472,0,0,30,3
0,0,1,0,5700,0.52,518,1040,0,0,50,3
1,0,0,1,8100,0.73,6464,2452,1,44800,42,0
0,1,-1,-1,4400,0.85,1254,1422,0,0,48,8
1,0,1,1,2900,0.52,1419,965,0,0,47,3
1,1,-1,-1,7000,0.86,3474,7314,1,20600,23,0
1,0,1,1,3000,0.69,427,2703,1,30100,55,1
0,0,1,0,0,-1,901,1386,1,24900,20,8
1,1,-1,-1,6400,0.97,701,3991,1,10700,43,8
1,0,1,1,7400,0.7,2280,1082,0,0,27,3
0,0,1,0,5500,1.04,4028,3366,1,26800,30,2
1,1,-1,-1,4100,0.75,5422,1561,1,38400,59,2
1,1,-1,-1,2000,0.47,1399,937,1,18100,58,5
0,1,-1,-1,4300,0.25,538,527,0,0,34,1
0,1,-1,-1,2000,1.01,2034,2542,0,0,51,8
1,1,-1,-1,5700,0.64,273,2024,1,28400,23,6
0,1,-1,-1,2600,0.8,563,4259,1,21400,51,2
0,0,1,1,2600,0.74,1110,4184,0,0,51,7
0,0,1,1,3600,0.66,691,152,0,0,47,8
0,0,1,0,4600,0.97,4203,8307,1,2700,42,7
1,0,0,0,4200,0.63,207,6023,1,16300,53,2
1,0,1,0,2800,0.74,1343,2236,1,20300,19,3
0,0,1,0,0,-1,3900,5993,1,25200,36,6
0,0,1,0,2300,0.78,790,3697,0,0,76,3
0,1,-1,-1,4000,0.58,524,2778,0,0,25,1
0,1,-1,-1,2300,0.88,1620,2112,1,26600,51,4
0,1,-1,-1,0,-1,1215,1455,0,0,42,1
1,0,1,1,1500,0.82,805,1313,1,15400,55,2
0,1,-1,-1,6500,1.02,851,1098,0,0,45,8
0,1,-1,-1,3900,0.39,520,656,1,24200,44,4
0,0,1,1,2900,0.65,720,700,0,0,18,1
1,1,-1,-1,2200,0.77,972,2197,1,16300,76,2
1,0,1,0,6500,0.75,688,7106,1,46500,30,6
0,1,-1,-1,3600,0.79,884,1357,0,0,35,8
0,0,1,0,7600,1.04,2467,6718,1,26500,37,1
1,1,-1,-1,2900,0.67,1295,2630,1,30800,41,8
0,1,-1,-1,5500,0.92,3427,7452,0,0,38,6
1,0,1,1,3000,0.72,403,80,1,25800,34,2
1,0,1,1,5200,0.59,1486,888,1,32600,41,3
0,0,1,0,5400,1.08,324,8922,1,37700,53,2
1,0,1,0,2600,0.69,4688,209,1,52500,36,1
1,0,1,0,6400,0.63,3190,9201,1,6300,21,3
1,1,-1,-1,2500,0.86,873,1846,1,26100,49,8
1,1,-1,-1,7200,0.38,3156,4389,1,48300,33,1
0,1,-1,-1,1500,0.56,974,398,0,0,29,8
1,1,-1,-1,2100,0.73,1536,3085,0,0,51,3
0,1,-1,-1,3700,0.42,3506,2356,1,15600,62,8
0,0,1,0,2900,0.82,1213,2893,0,0,45,7
0,0,1,0,2600,0.64,884,3381,0,0,46,4
1,0,1,1,3400,0.88,1344,1595,1,9800,42,1
0,1,-1,-1,3400,1.02,1190,2469,0,0,38,8
0,1,-1,-1,4400,0.66,777,2719,0,0,47,8
1,1,-1,-1,6500,0.8,399,1222,1,31800,41,4
0,1,-1,-1,6300,0.81,804,2240,1,27400,48,0
1,1,-1,-1,6300,0.95,2690,6162,1,35500,34,2
1,1,-1,-1,2700,0.9,1093,2161,0,0,63,7
1,0,0,0,4900,0.69,2786,5264,1,32500,32,4
0,1,-1,-1,1900,0.7,1357,3798,1,32300,51,1
0,1,-1,-1,3200,0.8,983,1440,1,35300,50,2
0,0,1,0,7500,0.77,779,7705,1,44200,24,7
0,1,-1,-1,2200,0.95,1745,2057,0,0,74,2
1,1,-1,-1,2400,0.71,1212,1563,0,0,50,1
1,0,1,0,2500,0.94,1282,2546,1,37100,22,1
1,0,1,1,3800,0.7,678,1948,1,18000,21,5
0,1,-1,-1,1300,1.01,153,338,0,0,68,1
0,1,-1,-1,5900,0.97,1224,4292,1,44700,50,2
1,1,-1,-1,2800,0.78,740,1648,1,13900,52,1
0,1,-1,-1,2300,1.05,131,1247,1,16000,48,6
1,0,1,0,4500,0.91,2651,1820,1,46100,27,3
0,0,1,0,5500,0.88,2978,4306,1,31700,54,0
0,0,1,1,1600,0.92,804,1764,0,0,45,1
0,1,-1,-1,6700,0.78,819,1930,0,0,39,4
1,1,-1,-1,3200,0.89,1146,1433,1,18600,41,8
1,1,-1,-1,7300,0.75,3880,4020,1,42900,34,3
0,1,-1,-1,4300,0.67,3597,4988,1,36400,55,5
1,1,-1,-1,10200,0.96,3398,1768,1,36800,41,1
1,0,1,0,3200,0.67,2178,3216,1,37900,41,0
0,1,-1,-1,3700,0.29,955,1419,1,37700,58,1
0,1,-1,-1,5400,0.74,1322,2122,0,0,44,0
0,1,-1,-1,0,-1,620,1653,0,0,38,3
0,1,-1,-1,5900,0.61,1097,2667,0,0,23,1
1,1,-1,-1,5300,0.71,1806,4545,1,16800,44,3
1,1,-1,-1,2300,0.86,979,2090,1,5800,66,1
1,1,-1,-1,6200,0.86,553,2425,0,0,53,6
1,0,0,0,5300,0.9,2409,4779,1,51300,44,2
0,0,1,1,3800,0.78,1003,627,1,10600,34,6
1,0,1,1,2000,0.64,1442,729,1,33800,50,1
1,1,-1,-1,5100,0.78,1433,478,1,76800,43,1
1,1,-1,-1,3600,0.65,40,1233,1,24900,37,7
0,1,-1,-1,3300,0.89,1053,2117,0,0,38,6
0,1,-1,-1,1300,0.86,669,2206,0,0,51,2
1,0,1,1,5000,0.75,1159,1393,1,24800,38,8
0,1,-1,-1,9300,0.36,3979,5417,1,17800,28,2
1,1,-1,-1,700,0.54,764,1672,1,35600,45,1
1,1,-1,-1,2400,0.75,2341,4446,1,35900,44,4
0,1,-1,-1,7200,0.77,2319,4649,0,0,68,2
0,0,1,1,0,-1,1429,2137,0,0,18,5
1,1,-1,-1,4000,0.64,1414,2603,1,20200,47,1
0,0,0,0,6800,0.54,1941,5436,0,0,57,2
1,1,-1,-1,3700,0.74,312,2366,1,23900,46,1
1,1,-1,-1,5000,0.59,1912,5852,1,50700,49,6
1,1,-1,-1,9200,0.6,2608,4882,1,43900,34,8
1,1,-1,-1,4700,0.61,881,2991,1,38800,18,2
0,1,-1,-1,5000,1,407,1227,0,0,20,1
0,0,1,0,3600,0.57,4828,4559,0,0,21,1
1,0,1,0,3700,0.57,2666,6733,1,1500,18,5
1,1,-1,-1,3600,0.99,1104,3082,1,10300,48,1
1,1,-1,-1,5700,0.61,1348,6313,1,7400,30,0
1,0,1,0,1200,0.49,1221,3884,1,21300,38,2
0,1,-1,-1,8500,0.58,2368,1600,1,1000,33,4
1,0,1,1,7700,0.47,390,405,1,27500,56,7
1,1,-1,-1,10200,0.71,5096,6011,1,20600,67,2
0,1,-1,-1,2800,1.07,997,1882,0,0,52,2
1,1,-1,-1,4700,0.59,624,1787,0,0,28,6
1,1,-1,-1,2500,0.8,521,418,1,28900,26,3
0,1,-1,-1,3000,0.57,468,456,0,0,46,8
0,1,-1,-1,900,0.8,830,3081,1,25900,23,3
0,0,1,1,3400,0.85,1440,2684,1,31800,19,8
0,0,1,0,5300,0.87,2251,6318,1,38900,34,1
0,0,1,0,2800,0.6,1478,2809,1,17900,50,8
0,1,-1,-1,3000,1.03,1116,2627,1,19100,41,8
0,1,-1,-1,11000,0.43,331,234,1,62700,24,2
0,1,-1,-1,2300,0.4,4602,5086,1,42600,45,6
1,0,1,0,4100,0.49,1742,977,1,25600,32,3
0,1,-1,-1,3300,0.99,4041,2715,1,38800,37,3
0,0,1,1,0,-1,592,1601,1,37800,23,6
0,1,-1,-1,6300,0.55,1989,5767,0,0,47,4
0,1,-1,-1,5300,0.26,171,277,1,56300,27,5
0,1,-1,-1,2000,0.97,1243,1864,0,0,36,8
0,1,-1,-1,7200,0.75,951,4498,1,40300,50,8
0,0,1,0,0,-1,512,3405,1,20700,42,6
1,1,-1,-1,1700,1.05,552,659,0,0,34,5
0,0,1,1,4900,0.49,276,2124,0,0,36,1
0,0,1,0,2300,0.81,1724,1928,0,0,35,8
1,1,-1,-1,4400,0.6,74,2400,1,29400,37,3
0,0,1,1,3200,0.78,1225,3162,0,0,34,6
0,1,-1,-1,2800,0.89,1602,770,0,0,47,3
1,0,1,0,6900,0.64,4282,2691,1,32700,28,1
0,1,-1,-1,6600,0.78,2952,57,1,48900,36,1
0,0,1,0,500,0.63,1163,1333,0,0,73,1
1,0,0,1,4000,0.8,532,3420,1,24800,55,1
0,1,-1,-1,2800,0.56,85,2231,0,0,55,1
0,0,0,0,600,0.79,620,3746,0,0,44,2
0,0,1,0,7600,0.73,1034,1143,1,27700,28,6
0,0,1,1,0,-1,479,1952,1,23900,42,1
1,0,1,0,8300,0.69,2008,2827,1,36700,65,1
0,1,-1,-1,5800,0.34,2399,5084,1,56200,28,8
0,1,-1,-1,2600,0.81,1389,3582,0,0,37,8
1,0,1,0,2000,0.43,3726,7560,1,48600,53,1
0,1,-1,-1,6200,0.45,444,4616,0,0,41,2
1,1,-1,-1,7200,0.73,2537,1054,1,34400,44,1
1,1,-1,-1,8300,0.8,2883,221,1,14000,45,8
0,0,1,0,4000,0.92,799,1516,0,0,36,1
0,1,-1,-1,2100,0.44,601,1830,0,0,20,3
1,1,-1,-1,6400,0.81,2794,1611,1,33700,60,3
1,0,1,0,9300,0.63,871,2442,1,22700,62,1
1,1,-1,-1,5300,0.64,2732,1679,1,21900,45,1
0,1,-1,-1,600,0.73,421,3487,0,0,48,2
0,1,-1,-1,4000,0.83,1062,69,0,0,66,7
1,1,-1,-1,2800,0.43,1222,4,1,55100,32,6
0,1,-1,-1,1600,0.79,1794,1436,0,0,62,1
0,0,1,0,4100,0.69,875,2498,0,0,41,4
0,0,1,1,2200,0.55,1298,583,0,0,58,8
0,1,-1,-1,9100,0.88,1555,3361,0,0,46,4
0,0,1,0,600,0.6,1104,1801,1,30900,44,6
1,0,1,0,7800,0.59,1537,112,1,35600,58,8
0,0,1,0,4800,0.45,1169,4846,1,38100,51,5
0,0,1,0,0,-1,1533,1959,0,0,22,3
1,0,1,1,1300,0.71,45,4059,1,34700,48,1
1,1,-1,-1,6200,0.97,5219,5208,1,40800,30,2
0,0,1,1,5800,0.46,922,1344,1,30100,47,4
0,0,0,0,5100,0.9,840,5047,0,0,39,3
1,0,1,1,5800,0.7,1339,5465,1,23800,25,2
1,0,1,0,7800,0.95,1813,525,1,57700,43,1
1,1,-1,-1,5300,0.57,777,5359,1,37200,52,6
0,1,-1,-1,5200,0.32,3294,4962,1,34600,20,6
1,0,0,0,3800,0.34,3781,3884,1,12600,55,4
1,0,1,0,4100,0.67,184,1497,1,22500,26,4
0,1,-1,-1,3500,0.5,1837,7540,1,28200,18,5
0,1,-1,-1,5500,0.39,750,3045,0,0,52,1
1,1,-1,-1,5300,0.68,3311,5879,1,33100,40,8
0,0,1,0,2200,0.92,777,3782,0,0,49,8
1,0,1,0,3000,0.51,472,600,1,24800,51,3
0,1,-1,-1,3500,0.48,2963,4428,1,66800,26,6
0,1,-1,-1,0,-1,2678,4503,1,35700,53,2
0,0,1,0,3000,0.9,1370,416,1,19400,42,2
1,0,1,0,4200,0.5,5338,3604,1,18500,52,8
0,1,-1,-1,2800,0.96,1030,1621,1,46100,41,6
0,1,-1,-1,3300,0.52,550,1282,0,0,32,1
1,0,1,0,4500,0.69,558,2758,1,48300,23,3
1,1,-1,-1,1200,0.68,1006,1421,1,39100,42,2
1,0,1,0,5700,0.6,5271,8073,1,1500,49,7
1,1,-1,-1,6300,0.53,659,1624,1,13000,29,0
0,0,1,1,4800,0.78,1094,1543,0,0,46,2
1,1,-1,-1,2600,0.39,230,4963,1,35000,52,2
0,0,1,0,6100,0.73,438,4795,1,36000,67,8
1,1,-1,-1,4100,0.81,1448,3519,1,34200,67,8
0,0,1,1,5300,1.07,1050,983,0,0,40,2
0,0,1,0,2400,0.53,2726,1593,0,0,36,7
0,0,1,1,6700,0.91,806,1143,0,0,55,2
0,1,-1,-1,4300,0.76,1022,3264,1,19400,34,1
0,1,-1,-1,5200,0.76,140,2295,1,13500,55,2
0,1,-1,-1,5500,0.99,793,1273,1,17800,64,4
1,0,1,1,0,-1,1369,2149,0,0,33,2
1,0,0,0,5800,0.89,2355,6084,1,42000,33,3
0,1,-1,-1,4000,0.86,729,1072,0,0,37,4
0,0,1,0,6900,0.67,3150,4658,0,0,35,2
1,1,-1,-1,6600,0.71,5187,5219,1,19100,35,8
0,0,1,0,5400,0.97,1166,3086,1,35100,62,2
1,1,-1,-1,1700,0.51,1177,1976,1,21300,40,3
0,0,1,0,5500,0.99,694,1532,1,3800,37,4
1,1,-1,-1,3000,0.97,1481,3508,1,25500,50,8
1,0,0,0,3600,0.79,1784,2169,1,35100,40,8
0,1,-1,-1,6100,0.73,279,1631,1,31000,29,7
0,1,-1,-1,0,-1,593,2013,0,0,45,2
1,0,0,1,2500,0.98,1789,2266,1,13600,78,5
1,1,-1,-1,1300,0.51,526,1880,1,24200,44,2
0,1,-1,-1,6400,0.64,2569,3070,1,44400,30,2
1,1,-1,-1,3900,0.85,898,2124,1,26300,43,6
0,1,-1,-1,1100,0.62,1356,2608,0,0,28,4
1,0,1,1,5300,0.82,4184,4977,1,51700,33,6
0,1,-1,-1,2400,0.66,1353,1764,0,0,47,3
1,0,1,0,6600,0.78,3355,5130,1,60900,23,1
0,1,-1,-1,6500,0.33,644,4950,1,46900,43,0
1,1,-1,-1,2800,0.83,1584,2611,1,37000,59,5
1,1,-1,-1,4100,0.78,2799,2776,1,49800,60,3
0,0,1,1,2800,0.65,1460,3240,1,22900,36,2
0,1,-1,-1,0,-1,1463,1643,1,10000,47,7
1,1,-1,-1,5900,0.95,2296,2537,1,29400,30,1
1,0,1,0,3400,0.74,645,2656,1,35300,33,8
0,0,1,0,7400,0.59,2338,5002,1,48100,30,3
0,0,0,1,6100,0.77,424,919,0,0,34,7
0,1,-1,-1,3200,0.7,435,18,0,0,48,1
0,1,-1,-1,1100,0.79,1746,238,0,0,53,2
0,1,-1,-1,5900,0.8,480,75,1,24400,58,2
0,0,0,1,1800,0.86,914,3178,1,32300,37,0
0,0,1,0,5700,0.89,1126,3139,0,0,45,1
0,0,1,1,1700,0.66,996,1949,0,0,22,1
0,0,1,0,7600,0.82,3731,5106,1,4800,19,1
0,1,-1,-1,6500,0.7,5669,2295,0,0,44,1
0,1,-1,-1,4000,0.85,1741,9062,0,0,26,4
0,0,1,1,5000,0.66,731,2316,0,0,50,3
0,1,-1,-1,4200,0.83,2684,1283,1,25400,57,8
0,1,-1,-1,0,-1,906,1723,0,0,60,1
1,0,1,0,4600,0.92,2235,8719,1,61500,32,2
0,1,-1,-1,6900,0.5,3891,5117,1,60400,35,5
0,1,-1,-1,1400,0.82,611,2154,0,0,60,2
0,1,-1,-1,2700,0.84,2575,5472,1,44800,30,8
1,1,-1,-1,3400,0.65,1727,2497,0,0,41,1
1,1,-1,-1,4700,0.87,3158,7339,1,52800,60,1
1,1,-1,-1,2900,0.7,1280,740,1,20300,41,8
0,0,1,0,6100,0.31,2276,5327,0,0,34,0
0,1,-1,-1,0,-1,1808,3765,0,0,38,8
0,0,1,1,0,-1,803,2054,0,0,52,4
0,0,1,0,1300,1.09,794,1667,0,0,55,2
1,0,1,1,4300,0.71,640,675,1,21100,27,1
0,0,1,1,1700,0.78,2797,2347,0,0,47,1
1,1,-1,-1,1900,0.64,1220,831,1,36500,42,1
0,1,-1,-1,7600,0.78,118,166,0,0,57,8
0,0,1,1,1100,0.42,886,2649,1,11000,51,1
0,0,1,0,3100,0.71,757,2191,0,0,31,3
0,0,1,0,5000,0.51,5909,4613,1,35700,64,1
1,1,-1,-1,3900,0.71,538,6993,1,64100,46,1
1,1,-1,-1,8300,1.02,4392,2268,1,17400,33,2
